        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 5.00000000e-01,        +4.185101157437e-14,        +1.157180250412e-05,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e+00,        +9.516843832414e-14,        +7.336934327192e-06,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+00,        +1.366021271125e-13,        +4.669747306331e-06,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+00,        +2.086668511548e-13,        +4.439396517137e-06,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e+00,        +2.725243758669e-13,        +3.834139923344e-06,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+00,        +3.718673436978e-13,        +3.538876254854e-06,        +0.000000000000e+00,        +0.000000000000e+00
