        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.00000000e+00,        -5.572743538396e-01,        +2.793374001326e-03,        -4.586254177905e+03,        -9.823081227932e+00
 1.50000000e+00,        +5.862598107642e-02,        +2.499042073039e-03,        -3.942713605038e+03,        +1.093556349092e+02
