        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.00000000e+00,        -3.551115043338e+01,        -9.356409409278e+01,        -2.283058936975e-02,        -1.162701461739e+01
 2.00000000e+00,        -2.933977862912e+01,        -1.074175864631e+02,        -3.780758381168e-02,        -2.315130322072e+01
 3.00000000e+00,        -2.603071844808e+01,        -1.199120379627e+02,        -5.272514235438e-02,        -3.464544031139e+01
 4.00000000e+00,        -2.396521110147e+01,        -1.319425612406e+02,        -6.753684357605e-02,        -4.611028847746e+01
 5.00000000e+00,        -2.265747200772e+01,        -1.437498639704e+02,        -8.105629786258e-02,        -5.754713812331e+01
